distance_km,weight_kg,vehicle_type,weather,delay,traffic_volume,delivery_hour,system_load
283.2,10.16,scooter,cold,no,4230,17,75000 
38.9,19.97,ev bike,foggy,no,3781,18,1000 
8.6,48.16,scooter,rainy,no,2342,19,10000 
8.7,35.57,bike,clear,no,1933,20,1000 
243.1,3.04,bike,rainy,yes,1873,21,2000 
144.5,29.48,bike,rainy,yes,2502,22,75000 
152.9,10.13,bike,clear,no,1602,23,1000 
250.5,35.12,bike,cold,no,951,0,75000 
154.4,15.38,scooter,foggy,no,608,1,75000 
287.1,44.93,ev van,cold,no,507,2,1000 
3.6,8.51,bike,rainy,no,318,3,75000 
49.6,40.38,ev bike,cold,yes,256,4,75000 
236.6,4.28,ev van,foggy,no,406,5,1000 
274.7,21.84,ev bike,rainy,no,709,6,1000 
212.1,31.83,van,stormy,yes,927,7,75000 
90.1,24.46,bike,rainy,yes,1478,8,1000 
252.3,15.13,van,cold,no,2304,9,75000 
66.8,12.4,truck,rainy,no,2897,10,1000 
132.2,49.52,ev bike,cold,no,2897,10,75000 
235.5,19.37,bike,hot,no,3190,11,300000 
121.9,27.38,scooter,foggy,no,3190,11,75000 
247.6,47.16,truck,foggy,no,3441,12,1000 
181.4,8.56,ev bike,hot,no,3840,13,1000 
258.6,26.39,scooter,clear,no,4074,14,75000 
71.2,41.69,ev bike,stormy,no,4037,15,1000 
191.0,30.91,ev bike,hot,yes,3969,16,1000 
199.0,16.47,van,hot,no,3762,17,3000 
124.9,42.71,truck,cold,no,3062,18,75000 
130.4,38.24,van,hot,no,2512,19,75000 
275.3,15.85,ev bike,foggy,no,2087,20,10000 
67.2,4.93,scooter,hot,no,1669,21,1000 
29.6,31.54,scooter,rainy,yes,1669,21,75000 
155.3,47.62,van,clear,no,1384,22,1000 
264.2,48.82,scooter,clear,no,1384,22,1000 
293.0,42.72,truck,hot,yes,853,23,75000 
269.5,21.91,ev van,rainy,no,442,0,75000 
231.6,29.66,van,rainy,yes,312,1,1000 
33.5,31.83,ev van,rainy,no,248,2,20000 
186.7,5.0,van,hot,no,278,3,150000 
195.6,25.04,bike,foggy,yes,754,4,1000 
149.0,7.89,van,cold,no,2398,5,75000 
252.8,44.18,van,hot,no,5522,6,150000 
294.8,36.21,bike,stormy,yes,6681,7,3000 
291.7,4.53,van,rainy,no,5839,8,75000 
7.1,7.98,bike,cold,no,4709,9,1000 
11.7,33.48,ev bike,rainy,no,4131,10,75000 
17.0,43.58,truck,hot,no,4294,11,1000 
94.4,28.22,scooter,clear,no,4410,12,75000 
223.9,43.09,bike,hot,yes,4642,13,1000 
172.8,17.06,truck,hot,no,5105,14,300000 
146.3,10.9,ev bike,clear,no,5494,15,75000 
220.7,47.34,van,hot,no,6231,16,1000 
77.8,6.79,ev van,clear,no,5717,17,75000 
297.1,15.27,scooter,stormy,yes,4169,18,20000 
75.0,19.06,ev bike,cold,no,2752,19,75000 
112.3,25.73,van,foggy,no,2229,20,150000 
255.8,15.53,scooter,hot,no,1894,21,1000 
236.7,12.99,scooter,rainy,no,1440,22,150000 
46.6,12.69,van,stormy,no,961,23,75000 
19.5,22.29,bike,foggy,no,489,0,1000 
196.6,46.99,truck,clear,no,333,1,75000 
209.0,48.45,van,cold,no,230,2,150000 
267.9,26.86,ev bike,clear,yes,314,3,75000 
10.0,7.62,truck,clear,no,758,4,1000 
260.8,39.21,ev van,hot,no,2432,5,1000 
101.9,16.7,bike,hot,no,5674,6,1000 
109.2,6.56,van,rainy,no,6771,7,2000 
193.8,42.72,truck,hot,no,6094,8,1000 
258.1,1.48,scooter,foggy,no,4964,9,75000 
124.6,2.88,ev bike,hot,yes,4357,10,75000 
3.6,18.19,van,hot,no,4432,11,75000 
194.8,10.95,ev bike,stormy,yes,4589,12,1000 
166.5,35.24,ev van,rainy,no,4858,13,1000 
291.5,49.33,ev van,foggy,yes,6486,16,1000 
158.9,23.71,truck,stormy,no,6271,17,75000 
189.5,45.71,ev bike,rainy,yes,4677,18,1000 
262.2,33.94,ev van,clear,no,2805,19,150000 
81.8,7.57,ev van,hot,yes,2528,20,75000 
5.3,43.86,ev bike,foggy,yes,2278,21,1000 
225.0,39.67,ev van,stormy,no,1733,22,1000 
205.2,15.49,ev van,hot,no,945,23,75000 
264.4,26.88,scooter,foggy,no,531,0,1000 
70.7,9.74,truck,rainy,no,357,1,150000 
129.5,5.02,van,clear,no,271,2,2000 
15.5,14.09,ev van,stormy,no,773,4,225000 
214.1,36.36,ev bike,stormy,no,773,4,1000 
58.1,1.51,ev van,stormy,yes,2456,5,11000 
166.6,23.18,van,clear,yes,6852,7,1000 
151.9,28.2,ev van,hot,no,6234,8,75000 
123.2,25.35,bike,cold,no,5061,9,75000 
15.6,36.69,ev van,foggy,no,4243,10,1000 
182.2,10.28,scooter,clear,yes,4677,11,75000 
153.9,48.78,truck,cold,no,4753,12,1000 
73.4,24.92,ev bike,stormy,yes,4780,13,75000 
199.0,37.98,ev bike,foggy,yes,5217,14,1000 
291.6,45.88,scooter,rainy,yes,5447,15,75000 
279.3,12.67,truck,clear,no,6394,16,375000 
266.7,49.4,truck,rainy,yes,6139,17,150000 
225.7,32.6,ev bike,clear,no,4465,18,1000 
240.4,13.53,scooter,rainy,no,2952,19,75000 
214.2,25.7,ev bike,cold,no,2603,20,2000 
123.5,14.78,truck,hot,no,314,3,1000 
57.3,37.93,ev bike,clear,no,754,4,75000 
227.4,40.03,ev van,hot,no,4902,12,1000 
185.3,19.52,van,hot,no,5886,17,1000 
242.5,34.38,van,rainy,yes,4322,18,2000 
286.1,10.71,ev bike,cold,no,2857,19,225000 
118.7,16.04,ev bike,clear,yes,2474,20,75000 
271.3,32.19,ev van,cold,no,2365,21,1000 
21.6,12.84,truck,rainy,no,1070,23,10000 
77.4,33.57,truck,foggy,yes,557,0,75000 
140.7,7.5,bike,foggy,no,334,1,300000 
281.9,33.56,van,rainy,yes,308,2,25000 
291.8,14.14,scooter,cold,no,322,3,100000 
153.8,22.27,ev van,clear,no,723,4,100000 
175.3,28.55,bike,stormy,yes,2367,5,130000 
135.4,5.16,ev bike,foggy,yes,5163,6,100000 
268.0,29.93,ev van,cold,no,6029,7,100000 
256.2,41.87,van,foggy,yes,5751,8,1500 
76.7,47.18,ev bike,cold,yes,4847,9,1500 
21.1,34.28,truck,foggy,no,4367,10,1500 
22.9,36.4,ev bike,hot,no,4786,11,1500 
270.3,46.64,ev bike,stormy,yes,4885,13,1500 
218.6,46.52,scooter,foggy,yes,5387,14,100000 
52.4,31.06,ev bike,hot,yes,5668,17,25000 
211.1,6.32,ev van,rainy,no,5668,17,100000 
123.4,29.0,scooter,clear,no,5668,17,1500 
175.7,17.52,scooter,hot,no,5668,17,260000 
180.0,47.97,scooter,rainy,no,4476,18,100000 
204.9,37.12,ev van,hot,no,4476,18,100000 
85.6,30.96,ev van,hot,no,3433,19,50000 
277.6,13.44,van,hot,no,3433,19,100000 
263.5,16.7,ev van,cold,no,3433,19,1500 
4.7,14.13,ev bike,hot,no,2711,20,1500 
206.3,24.82,van,cold,no,2711,20,350000 
162.5,22.21,ev bike,cold,no,2511,21,50000 
152.7,26.95,ev van,cold,no,2511,21,100000 
34.7,7.25,ev van,clear,no,2511,21,1500 
161.9,22.31,van,hot,no,2143,22,50000 
221.4,43.28,scooter,cold,no,2143,22,1500 
5.4,5.61,scooter,cold,yes,1629,23,50000 
127.7,0.67,ev bike,rainy,no,1629,23,1500 
186.7,30.44,ev bike,cold,no,1629,23,50000 
45.4,12.66,ev bike,cold,no,1043,0,50000 
296.5,26.69,bike,stormy,yes,1043,0,6000 
206.7,6.67,ev van,foggy,yes,1043,0,50000 
205.6,48.07,bike,hot,no,682,1,28000 
136.0,33.29,truck,clear,no,682,1,25000 
26.3,17.11,ev van,rainy,no,518,2,50000 
270.8,43.84,scooter,stormy,no,353,3,1500 
17.9,37.86,truck,cold,no,382,4,50000 
233.7,8.24,ev van,foggy,no,644,5,5000 
51.5,47.13,scooter,hot,no,644,5,1500 
215.9,3.26,bike,stormy,yes,1142,6,1000 
147.2,48.42,van,cold,no,1142,6,40000 
136.7,10.15,ev bike,cold,no,1142,6,68000 
297.1,4.01,truck,rainy,yes,1696,7,13000 
297.1,28.45,van,foggy,no,1696,7,125000 
17.3,21.97,truck,foggy,no,2624,8,150000 
269.1,19.89,bike,stormy,no,3377,9,20000 
3.6,45.0,van,clear,no,3600,10,80000 
180.7,0.67,ev van,rainy,no,4017,11,50000 
246.3,14.29,van,cold,no,4017,11,170000 
97.2,12.48,ev van,hot,no,4017,11,165000 
210.9,9.19,truck,hot,no,4538,12,10000 
181.9,8.35,ev van,stormy,yes,4538,12,15000 
138.3,13.16,truck,hot,yes,4538,12,90000 
255.5,8.04,van,foggy,yes,4556,13,140000 
205.3,10.75,ev van,foggy,no,4556,13,1000 
238.8,28.39,scooter,foggy,yes,4547,14,10000 
23.8,8.77,van,clear,no,4547,14,10000 
63.0,47.23,ev bike,rainy,no,4557,15,170000 
180.4,15.43,ev van,cold,no,4557,15,135000 
247.6,27.93,scooter,hot,no,4557,15,6500 
231.6,40.11,ev van,foggy,no,4338,16,25000 
141.0,37.37,van,clear,no,4338,16,100000 
246.4,1.86,van,rainy,no,4170,17,175000 
266.0,20.62,bike,stormy,no,4170,17,115000 
178.2,39.36,bike,cold,no,4170,17,150000 
45.7,46.3,truck,foggy,no,3789,18,330000 
182.1,34.99,truck,rainy,yes,3789,18,5000 
94.8,19.45,bike,foggy,no,3789,18,50000 
108.0,28.61,ev van,rainy,no,2627,19,140000 
268.2,38.12,truck,foggy,yes,2627,19,50000 
295.6,22.09,bike,foggy,no,2352,20,75000 
213.2,44.73,ev van,rainy,yes,2352,20,150000 
94.7,15.72,scooter,foggy,no,2352,20,69000 
84.7,47.21,ev bike,stormy,yes,2304,21,125000 
13.6,35.19,ev bike,cold,yes,2304,21,135000 
18.9,44.34,ev bike,hot,no,2304,21,120000 
23.3,48.1,ev bike,cold,no,2101,22,135000 
203.2,1.38,ev van,stormy,no,2101,22,150000 
57.9,40.69,bike,rainy,no,2101,22,20000 
25.5,19.68,van,clear,no,1807,23,30000 
297.1,9.51,van,rainy,no,1049,0,40000 
214.5,24.63,van,foggy,no,681,1,5000 
181.1,32.91,scooter,foggy,no,681,1,140000 
164.6,7.53,scooter,stormy,yes,306,3,12500 
287.3,47.76,ev van,foggy,no,199,4,6000 
185.0,44.41,ev van,rainy,yes,422,5,5500 
11.8,48.75,ev bike,hot,no,686,6,107000 
177.2,14.49,truck,stormy,no,951,7,20000 
129.8,23.9,van,clear,no,1444,8,50000 
297.1,43.24,ev bike,stormy,no,2983,10,40000 
146.1,29.5,ev van,clear,yes,2983,10,200000 
235.1,42.0,van,hot,no,3498,11,125000 
245.7,0.67,truck,rainy,yes,3907,13,50000 
16.5,26.14,ev van,stormy,no,3644,14,130000 
289.1,45.39,ev van,clear,no,3687,16,5000 
156.4,38.3,scooter,cold,no,3400,17,345500 
249.0,4.72,scooter,clear,no,2363,19,180000 
192.6,40.02,scooter,stormy,yes,1943,20,10000 
135.8,15.11,bike,stormy,no,1718,21,10000 
82.9,31.88,ev bike,clear,no,1274,22,20000 
57.2,18.49,van,cold,yes,785,23,20000 
213.9,43.55,bike,foggy,yes,429,0,40000 
24.2,42.69,scooter,hot,no,265,1,14000 
73.8,46.49,truck,foggy,no,222,2,20000 
158.1,27.12,ev van,rainy,yes,281,3,10000 
66.7,28.02,truck,rainy,no,735,4,40000 
165.4,6.42,truck,clear,no,2368,5,50000 
109.0,32.17,scooter,foggy,no,5427,6,140000 
81.5,48.31,scooter,stormy,yes,6579,7,55000 
215.0,42.9,ev bike,stormy,no,5908,8,100000 
73.5,19.13,ev bike,rainy,no,4673,9,40000 
60.0,12.65,ev van,foggy,no,3943,10,6000 
51.7,17.6,truck,stormy,no,3943,10,180000 
61.6,41.32,scooter,rainy,no,4217,11,165000 
4.8,27.61,truck,hot,no,4217,11,100000 
214.9,12.18,ev van,rainy,no,4509,12,12000 
170.1,30.1,scooter,cold,no,4509,12,5000 
15.3,16.84,ev van,rainy,no,4532,13,200000 
145.3,30.31,ev van,rainy,no,4532,13,4000 
250.7,17.86,ev bike,cold,no,5170,14,50000 
144.3,37.76,truck,clear,no,5554,15,50000 
297.1,25.04,van,clear,no,5554,15,19000 
31.6,27.09,ev van,rainy,no,6414,16,100000 
184.6,2.16,bike,rainy,yes,6414,16,50000 
158.4,47.05,ev bike,stormy,yes,5964,17,120000 
176.1,2.81,van,cold,no,4203,18,60000 
155.9,6.56,truck,clear,no,2859,19,135000 
169.2,5.14,van,stormy,yes,2298,20,320000 
273.0,10.34,bike,rainy,yes,2065,21,250000 
109.9,21.63,ev van,hot,no,1347,22,80000 
198.3,2.54,ev bike,rainy,yes,909,23,26000 
67.4,16.28,truck,rainy,yes,487,0,3500 
107.2,38.02,bike,clear,no,325,1,50000 
161.7,34.23,ev bike,clear,no,246,2,100000 
212.9,3.06,ev van,cold,no,289,3,40000 
274.1,40.76,ev bike,foggy,yes,731,4,60000 
211.4,19.33,scooter,cold,yes,2432,5,125000 
207.1,41.07,scooter,cold,yes,5434,6,150000 
128.9,20.57,van,stormy,yes,5916,7,150000 
71.8,46.11,bike,stormy,no,6179,8,200000 
213.3,43.4,truck,cold,no,4189,10,20000 
112.7,15.69,van,hot,no,4497,11,135000 
262.5,30.22,truck,rainy,no,4884,13,135000 
258.7,22.22,ev van,cold,no,5136,14,105000 
24.5,22.89,truck,cold,no,5627,15,8500 
12.5,22.16,van,clear,yes,6493,16,5500 
138.8,32.36,ev bike,hot,no,5739,17,10000 
68.1,20.61,van,clear,yes,4491,18,50000 
72.6,32.58,ev bike,rainy,no,3043,19,50000 
123.8,15.17,ev van,stormy,yes,2828,20,50000 
234.7,44.88,ev van,hot,yes,2331,21,100000 
50.4,45.65,truck,rainy,no,1433,22,100000 
285.7,34.48,van,stormy,yes,989,23,10000 
182.2,29.0,van,clear,no,498,0,23500 
229.9,32.05,truck,foggy,no,330,1,40000 
48.3,19.17,ev van,rainy,yes,249,2,125000 
45.9,21.12,ev van,cold,no,792,4,90000 
95.6,25.56,truck,hot,yes,2408,5,140000 
268.5,15.48,scooter,foggy,no,4987,6,140000 
251.2,13.99,van,foggy,yes,5709,7,220000 
80.5,26.54,scooter,cold,no,5751,8,230000 
125.5,33.02,scooter,cold,no,5303,9,140000 
150.4,24.67,bike,hot,no,4333,10,15000 
98.1,10.7,ev bike,stormy,no,4623,11,21000 
285.1,18.88,ev bike,foggy,no,4849,12,10000 
204.1,35.35,scooter,stormy,no,4984,13,140000 
129.9,39.23,ev bike,hot,no,5354,14,20000 
3.6,37.96,bike,clear,no,5700,15,120000 
18.3,33.26,scooter,clear,no,6465,16,155000 
164.8,11.8,scooter,foggy,no,6019,17,275000 
226.9,20.48,bike,stormy,no,4425,18,5000 
185.3,27.93,ev bike,rainy,no,3188,19,1000 
243.6,47.99,bike,clear,no,2807,20,7500 
232.4,9.16,van,stormy,no,3090,21,8500 
241.2,30.18,van,rainy,yes,2171,22,10000 
183.1,20.3,truck,clear,yes,542,0,50000 
258.9,21.01,scooter,foggy,yes,339,1,40000 
101.8,37.6,van,cold,yes,279,2,200000 
47.0,33.08,ev bike,clear,no,299,3,105000 
240.4,26.64,van,foggy,yes,761,4,125000 
90.2,3.3,ev van,cold,no,2502,5,245000 
69.8,4.76,van,clear,no,5611,6,255000 
167.4,26.23,ev bike,cold,no,6857,7,230000 
168.9,42.19,bike,hot,no,6857,7,155000 
23.5,25.02,ev van,clear,no,5912,8,205000 
187.7,28.29,van,foggy,yes,4952,9,20000 
69.1,49.52,ev van,clear,no,4205,10,9500 
40.8,12.34,ev bike,foggy,no,4662,11,5000 
289.5,26.48,ev bike,cold,no,4929,12,140000 
88.2,38.3,bike,cold,no,4897,13,400000 
124.1,47.61,truck,clear,no,5268,14,400000 
43.8,41.24,ev bike,hot,no,5268,14,10000 
284.1,26.67,ev bike,cold,no,5873,15,40000 
5.7,32.53,van,stormy,no,6490,16,40000 
3.8,40.56,truck,stormy,no,6488,17,175000 
122.3,17.99,scooter,stormy,yes,4582,18,175000 
37.2,39.87,van,stormy,yes,3243,19,105000 
59.2,27.26,van,rainy,no,2761,20,135000 
87.0,16.25,bike,clear,no,2646,21,210000 
141.3,22.25,ev van,clear,no,1787,22,260000 
267.1,45.97,truck,foggy,yes,1147,23,30000 
127.2,29.26,scooter,hot,no,602,0,30000 
237.0,46.12,ev van,cold,no,355,1,10000 
288.2,46.86,ev bike,rainy,no,301,2,120000 
253.4,33.08,ev bike,rainy,no,345,3,130000 
256.1,3.34,ev van,clear,yes,712,4,140000 
239.9,46.21,van,cold,no,2316,5,40000 
35.3,37.58,van,clear,no,5157,6,3000 
52.1,20.7,truck,stormy,no,6439,7,2000 
83.0,22.87,ev van,clear,no,5727,8,25000 
202.8,1.48,ev bike,cold,yes,5023,9,100000 
126.3,43.6,ev bike,cold,no,4367,10,20000 
151.3,46.34,ev bike,hot,yes,4813,11,30000 
244.0,5.71,bike,rainy,no,4813,11,140000 
10.9,38.18,van,foggy,no,5398,13,140000 
259.8,26.75,van,cold,no,5474,14,5000 
169.7,7.75,van,cold,yes,5953,15,15000 
177.9,33.65,ev van,clear,no,6514,16,100000 
84.9,39.32,van,cold,no,5927,17,125000 
50.3,27.34,ev van,foggy,no,4792,18,100000 
172.0,8.61,ev van,cold,no,3503,19,125000 
252.8,48.28,van,foggy,yes,2799,20,10000 
227.0,24.34,scooter,clear,no,2669,21,11000 
240.1,47.5,ev bike,foggy,yes,2311,22,10000 
101.9,18.96,ev van,hot,yes,1659,23,50000 
189.0,27.7,van,hot,no,1021,0,73000 
170.0,26.72,scooter,stormy,no,696,1,30000 
27.6,7.9,truck,cold,no,535,2,5000 
162.2,46.56,ev van,hot,no,535,2,6000 
3.6,32.42,truck,stormy,yes,353,3,15000 
220.9,41.76,van,cold,no,361,4,150000 
266.8,2.09,van,rainy,yes,687,5,20000 
266.4,3.33,ev bike,clear,no,1111,6,20000 
97.8,20.17,van,cold,no,1702,7,10000 
183.6,48.3,ev bike,hot,no,2595,8,13500 
224.1,43.35,ev van,hot,no,3346,9,20000 
192.5,40.74,ev bike,foggy,no,3550,10,30000 
5.1,38.25,ev van,stormy,no,4096,11,100000 
157.9,31.67,ev bike,stormy,no,4803,12,10000 
155.0,34.56,ev van,stormy,no,4906,13,12000 
243.0,19.64,bike,rainy,yes,4973,14,20000 
241.4,44.16,van,foggy,no,4791,15,20000 
198.0,17.22,scooter,rainy,yes,4837,16,30000 
47.4,19.37,ev van,foggy,no,4825,17,10000 
168.3,8.51,scooter,stormy,yes,4530,18,10000 
265.9,2.26,ev van,rainy,no,3076,19,175000 
49.7,11.14,ev bike,foggy,no,2532,20,100000 
257.4,5.49,bike,foggy,no,3096,22,165000 
25.8,26.58,ev bike,rainy,no,3125,23,295000 
289.0,15.56,van,hot,no,784,1,140000 
289.5,20.09,scooter,clear,no,577,2,140000 
295.2,23.35,ev van,stormy,yes,246,4,17000 
102.9,15.88,ev bike,clear,no,419,5,120000 
256.2,8.98,ev bike,foggy,no,946,7,11500 
103.7,5.59,scooter,stormy,no,1513,8,30000 
31.2,44.36,truck,foggy,no,2132,9,80000 
129.9,17.3,van,foggy,no,2796,10,150000 
240.8,20.04,truck,stormy,no,3632,12,150000 
8.3,42.06,van,clear,yes,4028,13,125000 
132.9,18.22,truck,cold,yes,3795,14,125000 
181.3,38.07,ev bike,foggy,no,3695,16,150000 
244.9,10.92,scooter,clear,no,3455,17,145000 
75.6,3.8,bike,foggy,no,3075,18,5000 
33.8,39.14,bike,foggy,yes,2073,20,28500 
61.6,28.76,ev van,rainy,no,3219,21,30000 
184.1,7.54,ev van,stormy,yes,2215,22,200000 
185.8,23.86,ev bike,clear,no,1031,23,20000 
108.6,39.35,bike,foggy,no,331,1,80000 
155.7,49.52,truck,clear,yes,270,2,10000 
112.5,18.6,van,rainy,yes,310,3,40000 
28.1,20.88,scooter,stormy,yes,667,4,200000 
27.9,39.61,van,rainy,no,1978,5,125000 
153.0,2.73,ev bike,hot,yes,4018,6,55000 
279.0,29.12,ev van,stormy,no,4397,7,50000 
131.8,26.01,ev van,rainy,no,3731,8,20000 
157.0,8.84,scooter,rainy,no,3339,10,55000 
242.8,23.79,truck,rainy,yes,3551,11,100000 
164.0,49.45,truck,stormy,no,4048,13,10000 
17.3,39.96,scooter,cold,no,4252,14,100000 
113.5,24.97,van,rainy,no,4483,15,160000 
7.7,38.2,van,cold,no,4561,16,180000 
276.0,17.47,bike,stormy,yes,4420,17,680000 
294.0,6.8,van,stormy,yes,4420,17,1000 
67.8,17.64,van,rainy,no,2545,19,140000 
163.9,8.51,scooter,foggy,no,2058,20,5000 
23.8,24.15,truck,hot,no,1790,21,13000 
67.1,48.83,ev bike,cold,no,1303,22,14000 
27.2,39.47,bike,stormy,no,859,23,140000 
3.6,34.86,van,clear,no,275,1,20000 
196.3,18.72,bike,stormy,no,185,2,30000 
131.4,7.98,ev bike,rainy,no,719,4,220000 
208.9,34.07,ev van,hot,no,719,4,80000 
290.9,6.47,van,stormy,yes,2424,5,20000 
268.8,26.69,ev van,clear,no,2424,5,320000 
11.8,42.29,truck,rainy,yes,6256,7,305000 
123.3,44.24,ev van,cold,no,5693,8,30000 
280.7,23.42,ev van,cold,yes,4031,10,20000 
288.7,1.65,truck,foggy,no,4176,11,1000 
217.4,46.67,van,stormy,yes,4551,12,10000 
76.7,27.17,ev bike,foggy,no,4747,13,255000 
129.8,33.49,scooter,cold,no,5459,15,11000 
85.4,48.47,scooter,cold,no,6331,16,18000 
76.9,5.73,truck,rainy,no,6111,17,7000 
78.3,40.66,scooter,rainy,yes,2774,19,15500 
207.0,46.68,van,clear,no,2593,20,40000 
211.6,6.61,ev van,hot,no,3209,21,10000 
171.3,49.45,ev bike,cold,no,2538,22,50000 
282.2,49.08,ev van,stormy,yes,346,1,40000 
228.5,11.36,ev van,foggy,no,248,2,11000 
126.7,29.52,scooter,foggy,no,312,3,110000 
247.1,21.73,ev bike,hot,no,737,4,160000 
73.5,38.73,van,clear,no,2486,5,110000 
125.2,48.46,ev van,rainy,no,5307,6,100000 
16.8,49.52,scooter,stormy,no,6391,7,150000 
274.6,28.09,scooter,clear,no,6106,8,250000 
83.5,36.62,ev van,foggy,no,5394,9,200000 
31.7,49.48,scooter,stormy,no,4303,10,465000 
232.1,0.67,truck,foggy,no,4481,11,330000 
283.5,7.23,scooter,rainy,no,4779,12,11000 
251.9,22.5,scooter,hot,no,4682,13,140000 
97.7,39.04,ev bike,cold,no,5212,14,60000 
297.1,17.48,ev bike,rainy,no,5633,15,10000 
83.5,20.26,scooter,rainy,no,6606,16,30000 
69.9,45.83,ev van,rainy,no,6303,17,75000 
61.0,0.97,bike,rainy,no,4584,18,65000 
5.5,12.15,bike,cold,no,3062,19,305000 
174.7,49.52,ev van,hot,no,2727,20,230000 
220.8,10.93,bike,hot,no,2484,22,140000 
182.9,37.44,scooter,foggy,yes,1150,23,5000 
160.3,4.5,bike,clear,yes,289,1,50000 
192.8,4.04,scooter,clear,no,254,2,100000 
261.5,17.4,bike,cold,no,746,4,30000 
93.3,28.48,van,rainy,no,746,4,10000 
143.3,33.11,scooter,clear,no,2449,5,15000 
270.9,13.84,bike,stormy,yes,2449,5,20000 
82.1,20.14,ev bike,rainy,no,6870,7,5000 
15.1,47.66,bike,clear,no,6870,7,6000 
100.5,6.85,van,foggy,no,6256,8,50000 
199.5,0.67,scooter,hot,no,6256,8,2500 
19.9,23.04,truck,foggy,no,6256,8,10000 
59.7,48.19,van,cold,no,4286,10,10000 
129.9,43.18,van,foggy,no,4438,11,36000 
113.2,13.32,ev bike,clear,yes,4731,13,60000 
276.8,7.54,bike,cold,no,5258,14,10000 
159.4,22.62,van,rainy,yes,6661,16,20000 
266.6,49.28,truck,foggy,no,5891,17,30000 
120.6,37.85,ev bike,foggy,no,3156,19,10000 
175.3,41.27,truck,foggy,yes,2843,20,175000 
169.8,17.2,ev bike,stormy,no,2521,21,8000 
49.1,15.46,ev bike,stormy,no,1887,22,50000 
5.4,0.98,ev bike,stormy,no,1172,23,190000 
81.4,26.83,truck,rainy,no,590,0,3000 
16.4,24.06,ev van,cold,no,376,1,140000 
224.0,10.85,bike,foggy,no,283,2,20000 
253.8,6.01,van,cold,no,683,4,70000 
102.9,32.47,ev bike,clear,no,2384,5,100000 
53.5,23.92,bike,rainy,no,5269,6,175000 
45.7,34.59,ev bike,hot,no,6593,7,150000 
153.3,9.16,bike,rainy,yes,5829,8,100000 
133.3,3.36,ev bike,stormy,yes,4463,10,290000 
283.2,8.57,scooter,rainy,no,4911,11,140000 
272.4,35.31,ev bike,hot,yes,5206,13,40000 
284.8,0.67,ev bike,stormy,no,5546,14,30000 
196.2,32.89,ev bike,foggy,no,6456,16,125000 
254.8,21.16,truck,rainy,no,6142,17,300000 
242.4,44.74,ev van,cold,no,3633,19,150000 
90.1,27.22,bike,hot,no,3033,20,200000 
185.1,38.16,scooter,foggy,yes,2439,22,200000 
152.4,28.21,bike,foggy,yes,1690,23,20000 
171.3,29.88,ev bike,hot,no,669,1,80000 
132.4,11.74,ev van,clear,no,584,2,100000 
75.6,18.28,ev van,hot,no,385,4,150000 
238.9,40.95,truck,hot,no,658,5,135000 
47.1,49.12,bike,hot,no,2052,7,125000 
81.7,19.71,scooter,foggy,no,2755,8,420000 
244.9,25.91,truck,foggy,no,3991,10,300000 
269.4,13.06,ev van,cold,no,4947,12,240000 
280.7,10.35,ev van,hot,no,937,1,5000 
286.3,28.49,ev bike,hot,no,686,2,7000 
44.3,3.73,ev van,foggy,no,462,5,10000 
162.3,36.7,van,stormy,yes,1153,7,20000 
54.6,5.59,scooter,foggy,no,1839,8,30000 
146.4,3.26,van,clear,yes,3245,10,55000 
221.8,10.57,bike,hot,yes,3616,11,100000 
292.6,44.73,ev bike,stormy,yes,3813,13,397500 
290.7,6.09,scooter,stormy,yes,3124,14,350000 
173.7,29.71,van,stormy,no,2529,16,330000 
118.3,22.81,bike,hot,no,2347,17,150000 
108.5,31.21,ev van,cold,no,1596,19,10000 
164.5,20.19,van,hot,no,1408,20,15000 
36.1,23.64,ev bike,hot,no,1030,22,140000 
113.9,48.97,truck,hot,no,692,23,15000 
40.9,15.52,truck,cold,no,383,0,144000 
19.5,9.07,van,clear,no,273,1,30000 
288.3,1.81,ev bike,hot,no,261,2,200000 
96.0,31.75,scooter,clear,no,334,3,20000 
142.4,6.44,ev van,foggy,no,2474,5,1000 
209.1,43.13,van,clear,no,5198,6,100000 
153.4,30.64,bike,foggy,no,5565,8,15000 
269.9,39.67,ev van,foggy,yes,4410,9,40000 
273.0,35.54,bike,foggy,no,4033,11,90000 
84.1,37.66,van,cold,no,4368,12,10000 
129.1,49.14,ev bike,rainy,no,4799,14,52000 
60.9,29.76,van,clear,no,4799,14,20000 
279.4,15.58,scooter,clear,no,4799,14,2000 
19.0,30.21,scooter,hot,no,5708,17,10000 
242.1,26.49,ev bike,rainy,yes,5708,17,24000 
249.5,10.54,truck,foggy,no,2460,20,1000 
263.7,15.55,truck,hot,yes,2460,20,3000 
195.3,32.9,truck,cold,no,2460,20,5 
155.2,23.61,scooter,clear,no,434,0,2 
181.5,15.9,ev van,hot,yes,370,1,11 
58.2,29.21,scooter,foggy,yes,243,2,1 
53.5,13.9,ev van,stormy,no,340,3,5 
237.9,49.12,ev bike,rainy,no,2608,5,5 
164.0,38.13,bike,clear,no,2608,5,128 
279.7,7.81,scooter,hot,yes,5646,6,45 
81.0,17.34,truck,stormy,no,6945,7,75 
85.5,13.27,bike,foggy,yes,6060,8,22 
153.6,12.87,ev van,foggy,no,5100,9,4 
24.6,12.02,van,stormy,yes,4389,10,2 
